date,merchant,category,amount
2025-07-01,Cabify,transport,36.25
2025-07-01,Ferreteria Mas,home,29.49
2025-07-01,Lidl,groceries,56.77
2025-07-02,Abacus,education,137.97
2025-07-03,Bonpreu,groceries,55.22
2025-07-03,Cabify,transport,30.57
2025-07-03,Can Recasens,dining,33.02
2025-07-05,Can Recasens,dining,27.81
2025-07-05,Ikea,home,91.60
2025-07-05,Spotify,entertainment,11.55
2025-07-06,Can Recasens,dining,6.18
2025-07-07,Bicing,transport,50.47
2025-07-07,Carrefour,groceries,64.77
2025-07-07,Mercadona,groceries,21.50
2025-07-08,Bonpreu,groceries,8.66
2025-07-10,Abacus,education,101.67
2025-07-10,Bo de B,dining,33.94
2025-07-10,Federal Cafe,dining,53.82
2025-07-10,Lidl,groceries,31.77
2025-07-11,Carrefour,groceries,44.92
2025-07-12,Farmacia Gala,health,76.83
2025-07-12,Leroy Merlin,home,88.64
2025-07-12,Lidl,groceries,58.41
2025-07-13,Abacus,education,130.17
2025-07-13,Coursera,education,92.07
2025-07-14,Bar Alegria,dining,38.80
2025-07-14,Can Recasens,dining,6.99
2025-07-14,Optica Universitaria,health,68.71
2025-07-14,Repsol,transport,45.82
2025-07-15,Bicing,transport,23.25
2025-07-15,Carrefour,groceries,79.19
2025-07-15,Repsol,transport,2.49
2025-07-16,Endesa,utilities,147.15
2025-07-16,Leroy Merlin,home,85.86
2025-07-16,Mercadona,groceries,21.03
2025-07-16,Nomad Coffee,dining,37.19
2025-07-17,Bar Alegria,dining,8.40
2025-07-17,Repsol,transport,23.57
2025-07-18,Can Recasens,dining,8.24
2025-07-20,Clinica Dental Sants,health,61.87
2025-07-20,TMB,transport,50.33
2025-07-21,Carrefour,groceries,37.89
2025-07-21,Lidl,groceries,36.50
2025-07-24,Renfe,transport,20.57
2025-07-25,Bar Alegria,dining,8.89
2025-07-25,Can Recasens,dining,46.71
2025-07-25,Renfe,transport,43.25
2025-07-25,Repsol,transport,6.93
2025-07-26,Abacus,education,28.86
2025-07-26,Carrefour,groceries,72.00
2025-07-26,Mercadona,groceries,80.56
2025-07-27,Carrefour,groceries,88.09
2025-07-27,Mercadona,groceries,17.72
2025-07-28,Abacus,education,27.41
2025-07-28,Bar Alegria,dining,46.01
2025-07-28,Clinica Dental Sants,health,65.84
2025-07-29,Cabify,transport,49.46
2025-07-29,Carrefour,groceries,52.24
2025-07-29,Coursera,education,91.02
2025-07-29,Leroy Merlin,home,235.79
2025-07-30,Bicing,transport,50.73
2025-07-30,Repsol,transport,41.80
2025-07-30,TMB,transport,43.97
2025-07-31,Aigues de Barcelona,utilities,29.22
2025-07-31,Bar Alegria,dining,57.18
2025-07-31,Ikea,home,114.01
2025-07-31,Renfe,transport,55.52
2025-08-01,Can Recasens,dining,53.81
2025-08-01,Carrefour,groceries,70.39
2025-08-01,Ferreteria Mas,home,88.41
2025-08-01,Lidl,groceries,71.55
2025-08-02,Repsol,transport,16.99
2025-08-03,Aigues de Barcelona,utilities,59.36
2025-08-03,Can Recasens,dining,22.06
2025-08-03,Leroy Merlin,home,107.86
2025-08-03,Lidl,groceries,45.36
2025-08-03,Repsol,transport,59.79
2025-08-04,Farmacia Gala,health,138.17
2025-08-04,Mercadona,groceries,68.32
2025-08-05,Bicing,transport,53.07
2025-08-06,Condis,groceries,11.68
2025-08-06,Naturgy,utilities,124.47
2025-08-06,Nomad Coffee,dining,34.94
2025-08-06,TMB,transport,55.77
2025-08-07,Bo de B,dining,35.87
2025-08-09,Mercadona,groceries,87.54
2025-08-11,Cabify,transport,20.32
2025-08-12,Carrefour,groceries,33.69
2025-08-12,Mercadona,groceries,48.15
2025-08-13,Aigues de Barcelona,utilities,132.43
2025-08-13,Optica Universitaria,health,175.96
2025-08-14,Bicing,transport,60.34
2025-08-14,Bonpreu,groceries,70.25
2025-08-14,Condis,groceries,67.06
2025-08-14,Filmoteca,entertainment,16.89
2025-08-14,Leroy Merlin,home,250.83
2025-08-14,Renfe,transport,64.13
2025-08-15,Naturgy,utilities,187.91
2025-08-16,Lidl,groceries,46.83
2025-08-17,Nomad Coffee,dining,21.13
2025-08-17,Repsol,transport,37.99
2025-08-18,Bonpreu,groceries,9.35
2025-08-18,Filmoteca,entertainment,27.71
2025-08-18,Lidl,groceries,38.64
2025-08-18,Mercadona,groceries,18.30
2025-08-19,Bar Alegria,dining,52.71
2025-08-19,Bar Alegria,dining,52.71
2025-08-19,Mercadona,groceries,26.00
2025-08-20,Abacus,education,142.77
2025-08-20,Aigues de Barcelona,utilities,112.12
2025-08-20,Bicing,transport,66.84
2025-08-20,Federal Cafe,dining,4.10
2025-08-20,Filmoteca,entertainment,41.68
2025-08-22,Bar Alegria,dining,62.41
2025-08-22,Condis,groceries,93.58
2025-08-22,Optica Universitaria,health,75.22
2025-08-23,Bicing,transport,35.81
2025-08-23,Carrefour,groceries,81.17
2025-08-23,Endesa,utilities,170.74
2025-08-23,Nomad Coffee,dining,50.10
2025-08-23,Spotify,entertainment,21.23
2025-08-24,Nomad Coffee,dining,25.99
2025-08-24,Razzmatazz,entertainment,33.95
2025-08-26,Carrefour,groceries,90.14
2025-08-26,Razzmatazz,entertainment,38.19
2025-08-27,Can Recasens,dining,39.50
2025-08-27,Farmacia Gala,health,113.77
2025-08-27,Repsol,transport,60.04
2025-08-28,Cabify,transport,59.00
2025-08-29,Razzmatazz,entertainment,27.81
2025-08-29,Renfe,transport,18.46
2025-08-29,TMB,transport,23.80
2025-08-29,Teatre Lliure,entertainment,48.96
2025-08-30,Bo de B,dining,58.87
2025-08-30,Farmacia Gala,health,38.69
2025-08-30,Federal Cafe,dining,50.57
2025-08-30,Ferreteria Mas,home,32.92
2025-08-30,Spotify,entertainment,26.67
2025-08-31,Bicing,transport,10.88
2025-08-31,Condis,groceries,79.77
2025-09-01,Bonpreu,groceries,15.27
2025-09-01,Cabify,transport,18.50
2025-09-01,Repsol,transport,30.53
2025-09-02,Condis,groceries,80.19
2025-09-02,Condis,groceries,72.50
2025-09-02,Repsol,transport,25.77
2025-09-04,Nomad Coffee,dining,40.48
2025-09-04,Spotify,entertainment,28.42
2025-09-05,Bicing,transport,55.08
2025-09-05,Bo de B,dining,31.35
2025-09-05,Filmoteca,entertainment,18.03
2025-09-05,Nomad Coffee,dining,21.91
2025-09-06,Carrefour,groceries,84.88
2025-09-06,Ferreteria Mas,home,61.54
2025-09-06,Leroy Merlin,home,163.89
2025-09-07,Federal Cafe,dining,50.81
2025-09-07,Leroy Merlin,home,229.15
2025-09-08,Clinica Dental Sants,health,55.35
2025-09-08,Nomad Coffee,dining,65.82
2025-09-09,Cabify,transport,39.71
2025-09-10,Bo de B,dining,9.11
2025-09-10,Can Recasens,dining,37.61
2025-09-11,TMB,transport,9.89
2025-09-11,Teatre Lliure,entertainment,16.09
